tweet,sentiment_label
b'RT @tonyposnanski: Melania Trump fired someone on #WorldKindnessDay...\n\nYou can\xe2\x80\x99t get more BeBest than that!',Positive
b'RT @Sweet_PeaBelle: Sam Donaldson: Trump\xe2\x80\x99s \xe2\x80\x98Small Base\xe2\x80\x99 Is Not Going to Run This Country \xe2\x80\x94 \xe2\x80\x98And They Never Will.\xe2\x80\x99  That \xe2\x80\x9csmall base\xe2\x80\x9d electe\xe2\x80\xa6',Negative
b'RT @lajornadaonline: Alista @realDonaldTrump dos nuevos despidos en su gabinete https://t.co/CphLnwrPqY https://t.co/lKQgD1MTZL',Negative
b'RT @TheRealYoG: @SocialistViews @BarbaraLNewsome Pelosi is pro rw fascist israel just like trump pence schumer and hillary\n\nNew leadership\xe2\x80\xa6',Positive
b'RT @CamilleVernier1: Macron fait constamment des r\xc3\xa9flexions sur Trump et la fa\xc3\xa7on dont il g\xc3\xa8re les \xc3\x89tats-Unis et les fran\xc3\xa7ais trouvent \xc3\xa7a n\xe2\x80\xa6',Negative
b'RT @shannonrwatts: In an attempt to defend Cindy Hyde-Smith from accusations of racism, Mississippi\xe2\x80\x99s Governor says Black Americans are at\xe2\x80\xa6',Negative
b'RT @brianklaas: Donald Trump, a man who was already an unhinged, ill-informed, historically illiterate conspiracy theorist, is melting down\xe2\x80\xa6',Negative
b'Before President Trump....JFK was our last great President \nRIP JFK\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xe2\x9d\xa4\xef\xb8\x8f We never forget.... https://t.co/gVyjaNGtyy',Positive
b'RT @GeorgeTakei: She is not playing, you guys. https://t.co/B8PAi18xKi',Negative
b'RT @adamcbest: Who is going to fire John Kelly since John Kelly can\xe2\x80\x99t fire John Kelly? Trump clearly doesn\xe2\x80\x99t have the guts to do it judging\xe2\x80\xa6',Positive
b'RT @PattyMurray: I stand with the people of Eastern WA and across our state and country in calling for Acting AG Matthew Whitaker to recuse\xe2\x80\xa6',Negative
b'Jiggly puff would look like Donald trump if they didn\xe2\x80\x99t give it fur \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80 https://t.co/cMaGDk3Auj',Negative
b'@bubbagump324 Nope! Didn\xe2\x80\x99t care then and I care even less now... didn\xe2\x80\x99t care about Trump cheating either, only that\xe2\x80\xa6 https://t.co/iWzpA3kxRp',Negative
b'RT @cher: HATE CRIMES HAVE GONE UP 17% SINCE trump HAS BEEN IN THE WHITE HOUSE',Negative
b'RT @Pappiness: The rumor is that Melania Trump wants a senior aide fired because of a fight over seating on a plane.\n\nBetween this and losi\xe2\x80\xa6',Positive
